"id","type","subtype","price","transactionType","zip","visualisationOption","kitchen__type","building__constructionYear","building__condition","energy__heatingType","certificates__primaryEnergyConsumptionLevel","bedroom__count","land__surface","atticExists","basementExists","outdoor__garden__surface","outdoor__terrace__exists","specificities__SME__office__exists","wellnessEquipment__hasSwimmingPool","parking__parkingSpaceCount__indoor","parking__parkingSpaceCount__outdoor"
"9116268","apartment","apartment","20000","for sale","7850","xl","installed","1996","good","electric","","3","","","true","","true","true","","2","1"
"8688291","apartment","service flat","50000","for sale","2930","xl","hyper equipped","2016","","gas","","2","","","","","true","","","",""
"9125429","apartment","apartment","20000","for sale","1020","xl","hyper equipped","1976","as new","gas","","1","","","true","","true","","","",""
"9016148","apartment","apartment","25000","for sale","4020","xl","installed","","as new","gas","","3","","","true","","true","","","",""
"8670795","apartment","apartment","35000","for sale","4020","xl","hyper equipped","1975","as new","gas","","1","","","true","","true","","","2",""
"8929256","apartment","apartment","50000","for sale","8400","xl","installed","2001","","gas","","2","","","true","","true","","","1",""
"8991260","apartment","apartment","40000","for sale","4020","xl","installed","2013","as new","gas","","2","","","true","","true","","","1",""
"9103317","apartment","apartment","49500","for sale","8420","xl","","1966","","electric","","1","","","true","","","","","",""
"9120080","apartment","flat studio","45000","for sale","1190","xl","installed","","","","","1","","","","","","","","",""
"9102735","apartment","flat studio","25000","for sale","8434","xl","","1977","","electric","","1","","","","","","","true","",""
"9081505","apartment","apartment","no price","for sale","1070","xl","installed","","","","","1","","","true","","","","","",""
"9027050","apartment","apartment","36000","for sale","6941","xl","","","","","","1","","","","","","","","",""
"9074926","apartment","apartment","50000","for sale","6060","xl","installed","","","gas","","2","","","true","","true","","","1",""
"8741992","apartment","apartment","40000","for sale","5000","l","","","good","gas","","1","","","","","true","","","",""
"9114828","apartment","flat studio","20000","for sale","5000","l","","","just renovated","gas","","1","","","","","","","","",""
"8964847","apartment","apartment","35000","for sale","1083","l","installed","1967","good","fueloil","","2","","","true","","true","","","1",""
"8970442","apartment","flat studio","20000","for sale","5000","l","","","just renovated","gas","","1","","","","","","","","",""
"8964838","apartment","apartment","30000","for sale","1080","l","hyper equipped","1978","as new","fueloil","","2","","","true","","true","","","1",""
"9110992","apartment","flat studio","28000","for sale","8370","l","installed","","good","","","1","","","","","","","","",""
"8799458","apartment","flat studio","50000","for sale","8420","l","","1970","","","","1","","","","","","","","",""
"8529310","apartment","apartment","15000","for sale","6001","l","","","","","","2","","","","","","","","1",""
"9056518","apartment","apartment","45000","for sale","5000","l","","","","gas","","1","","","","","true","","","",""
"8924462","apartment","apartment","20000","for sale","6060","l","","","","","","2","","","true","","","","","","1"
"9008931","apartment","apartment","50000","for sale","1150","l","","1965","as new","","","2","","","","","","","","1",""
"8964354","apartment","duplex","44000","for sale","7100","l","","","to renovate","","","1","","","","","","","","","1"
"8983370","apartment","apartment","40000","for sale","1140","l","installed","1993","as new","gas","","1","","","true","","true","","","1",""
"8559593","apartment","apartment","30000","for sale","7080","l","not installed","","to renovate","gas","","1","","","","","","","","",""
"9127753","apartment","ground floor","25000","for sale","1200","l","","1965","good","fueloil","","1","","","","","","","","1",""
"8923633","apartment","duplex","99000","for sale","4500","xl","installed","1968","to be done up","gas","","2","","","true","","true","","","",""
"9138238","apartment","flat studio","98000","for sale","2660","xl","semi equipped","1970","to renovate","gas","","1","","","","","","","","",""
"9086521","apartment","flat studio","99000","for sale","8370","xl","semi equipped","1967","to renovate","gas","","0","","","","","","","","",""
